Titre,description,calendrier,prix,link
GRAND OUEST INNOVATIONS,"Il s’agit du salon des start-ups du Grand Ouest, un événement biennal offrant à une quarantaine de jeunes entreprises des trois régions la possibilité d’exposer gratuitement pendant une journée leurs produits ou services innovants devant environ 3 500 visiteurs. La veille du salon, une convention d’affaires d’une demi-journée, également gratuite, permet aux start-ups de présenter leur entreprise à des « Mentors », tels que des banques, fonds d’investissement, experts en propriété intellectuelle, conseillers en financements publics, entrepreneurs à succès, incubateurs, et accélérateurs.","
Date du salon : le 22 février 2025 à Saint-Brieuc
Fin des inscriptions : 30 novembre 2024
","Visibilité, réseau, conseils d’experts, prix",https://www.grandouestinnovations.fr/
2024 Youth Start-Up Competition (YSC),"Es-tu un jeune visionnaire avec une idée de start-up révolutionnaire ? Es-tu animé par la passion de relever des défis mondiaux tout en respectant les valeurs et principes européens ? Si c’est le cas, nous avons une excellente nouvelle pour toi !","
Fin des inscriptions : 20 septembre 2024
",Les 3 finalistes seront invités à l’assemblée des PME à Budapest du 18 au 20 novembre pour rencontrer le jury. Et le/la gagnant/gagnante sera invité au conseil européen de l’innovation en 2025 !,https://single-market-economy.ec.europa.eu/news/2024-youth-start-competition-ysc-encouraging-young-entrepreneurs-shape-future-2024-06-18_en
Game of Brain 2024,Game Of Brain 2024 est une opportunité réservée aux Étudiants-Entrepreneurs et alumni du réseau Pépite France !,"
Fin des inscriptions : 18 octobre 2024
",Les 3 projets gagnants se partagent 6000€ pour le développement de leur projet !,https://youngentrepreneurcenter.fr/inscription-porteur/
Programme WILLA BOOST,WILLA BOOST est un programme d’émergence 100% féminin et 100% gratuit pour passer de l’idée à l’action !,"
Fin des inscriptions : 25 octobre 2024
",Accompagnement,https://hellowilla.co/programmes/willa-boost/
Prix Gabriel de Live For Good,C’est un prix pour soutenir la jeunesse et l’innovation positive. Tu as moins de 35 ans et une entreprise à impact positif ? Le Prix Gabriel c’est 120 000€ de dotation globale à se répartir entre 6 lauréat.es pour accélérer son entreprise.,"
Fin des inscriptions : 29 septembre 2024
","Financement (bourse jusqu’à 20 000€), accompagnement (12mois), visibilité",https://www.live-for-good.org/fr/prix-gabriel
"Future On Stage
","Propulsez votre marque sur le devant de la scène grâce à un programme d’accompagnement avec les plus grands experts du marché de la décoration, du design et de l’art de vivre !","
Fin des inscriptions : 27 septembre 2024
",Un stand offert au cœur du salon Maison&Objet Paris du 16 au 20 janvier 2025 à Paris et une mise en avant de votre marque sur nos canaux de communication.,https://www.maison-objet.com/paris/future-on-stage-appel-a-candidature
3e édition Kiss Kiss Bio Bio ,Tu as un projet engagé qui développe des produits bio ou des alternatives écologiques ? Rejoins le programme d’accompagnement KissKissBioBio et tente de remporter 2500€ sur ta campagne de crowdfunding !,"
Fin des inscriptions :

Session 2 : le 9 septembre 2024
Session 3 : le 12 novembre 2024


","Dotation de 2500€ sur la campagne de crowdfunding KissKissBankBank pour les 6 finalistes, la production d’une vidéo leur permettant de présenter leurs projets ainsi que de la visibilité sur les réseaux sociaux de NATURALIA et canaux de communication de KissKissBankBank.",https://bpifrance-creation.fr/enseignant/petites-annonces/concours-kisskissbiobio-recherche-porteurs-projets-autour-du-bio
Prix de l’Entrepreneure Mancelle ,Vous êtes une femme ? Vous préparez une création d’entreprise ou vous avez déjà lancé votre entreprise il y a moins de trois ans ? Vous pouvez peut-être concourir au Prix de l’Entrepreneure Mancelle 2024 ! ,"
Fin des inscriptions : 18 octobre 2024
","Financement (1er prix : 3000€ et deux prix complémentaires de 1 000 €), visibilité, accompagnement, développement de votre réseau",https://www.lemansdeveloppement.fr/prix-entrepreneure-mancelle/
 9e édition du Prix innovation sécurité routière,"Le prix innovation sécurité routière est un concours ouvert à tous les entrepreneurs, groupes ou start-ups qui mettent leur créativité au service de la sécurité sur la route. Les lauréats se verront décerner, pour la commercialisation de leurs produits ou services innovants, le label Prix innovation sécurité routière 2025.","
Fin des inscriptions : 5 novembre 2024
","Label Prix innovation sécurité routière 2025, visibilité auprès d’un large public.",https://www.securite-routiere.gouv.fr/le-concours-innovation/prix-innovation-candidatures
Concours Talents des Cités,Le Concours Talents des Cités a été créé pour valoriser l’initiative entrepreneuriale des Quartiers de la Politique de la Ville et de l’écosystème de la création d’entreprise. Il s’agit d’un évènement majeur du programme national « Entrepreneuriat Quartiers 2030 ».,"
Fin des inscriptions : 14 juillet 2024
","Les lauréats régionaux de la catégorie Jeune Pousse se verront remettre une dotation de 1 000 euros, ceux de la catégorie Création, une dotation de 2 000 euros.",http://www.talentsdescites.com/
Smart Move Challenge,"Le Smart Move Challenge récompense les start-up aux idées prometteuses et particulièrement innovantes, en quête de leur premier marché. C’est une opportunité en or pour entrer en contact avec des directeurs innovation de grands groupes du secteur et bénéficier d’une visibilité accrue dans tout l’écosystème de la mobilité.","
Fin des inscriptions : 19 juillet 2024
","
Dotation : Une enveloppe de 7 000 € pour le « Super Lauréat ».
Visibilité: Un stand à moitié prix sur l’Espace Start-up des Rencontres nationales du transport public 2025 ou de l’European Mobility Expo 2026 pour les lauréats. Gratuit pour le « Super Lauréat ».
Partenariats : Des rencontres avec les directeurs innovation de grands groupes du secteur pour les lauréats.
",https://www.eumo-expo.com/visitez/evenements/smart-move-challenge/
Solutions4Good,"Solutions4Good lance, pour la 5e année consécutive, un Challenge pour favoriser l’émergence de nouvelles startups au service de l’impact.","
Fin des inscriptions : 30 avril 2024
",Jusqu’à 5000 € pourront être remportés pour un projet afin qu’il puisse se lancer dans l’aventure entrepreneuriale.,https://solutions4good.bzh/
THE BATTLE,"Vous avez un projet entrepreneurial ou un projet tutoré ? Vous êtes alternants, lycéens ou étudiants ? Alors venez pitcher en 3 min votre projet pour tenter de gagner un prix, mais surtout rencontrer des entrepreneurs engagés comme vous ou encore des professionnels pour votre réseau !  Grande finale le 4 juin à Terra Botanica","
Fin des inscriptions : 30 avril 2024
",Non défini,https://www.gae49.fr/the-battle
Future on Stage,"Vous êtes étudiant spécialisées dans le design, la décoration et l’art de vivre ?","
Fin des inscriptions : 26 avril 2024
","Tentez de remporter une mise en avant de votre marque sur les canaux de communication de Maison & objet, l’avis d’expert·e·s et surtout… une exposition gratuite au salon Maison&Objet qui se tiendra en septembre prochain.",https://www.maison-objet.com/paris/future-on-stage-appel-a-candidature
Concours Enactus – Journée d’envol 2024,Les grands prix : Un concours ouvert à tou.tes pour les porteur·ses de projet ayant déjà une idée précise et un premier prototype concret de leur projet.,"
Clôtures des inscriptions : mercredi 17 avril
","Financement, accompagnement, dotations financières",https://enactus-etudiants.notion.site/Journ-e-d-envol-2024-Mon-Guide-de-Participation-eaa61c21a9c446b0bc5ab2bddbd29e85
